Posición,Título,Artista,Año,lyrics
43,Yo no quiero volverme tan loco,Charly García,1982 [ 4 ] ​,"9 ContributorsYo No Quiero Volverme Tan Loco Lyrics[Letra de ""Yo No Quiero Volverme Tan Loco""]

[Intro: Charly García]
Si esto no es el rock, ¿el rock dónde está?

[Estribillo 1: García]
Yo no quiero volverme tan loco
Yo no quiero vestirme de rojo
Yo no quiero morir en el mundo hoy

Yo no quiero ya verte tan triste
Yo no quiero saber lo que hiciste
Yo no quiero esta pena en mi corazón

[Verso 1: García]
Escucho el beat de un tambor entre la desolación
De una radio en una calle desierta
Están las puertas cerradas y las ventanas también
¿No será que nuestra gente está muerta?

[Verso 2: García]
Presiento el fin de un amor en la era del color
La televisión está en las vidrieras
Toda esa gente parada que tiene grasa en la piel
No se entera ni que el mundo da vueltas


[Estribillo 2: León Gieco]
Yo no quiero meterme en problemas
Yo no quiero asuntos que queman
Yo tan sólo les digo que es un bajón

Yo no quiero sembrar la anarquía
Yo no quiero vivir como digan
Tengo algo que late en mi corazón

[Verso 3: García]
Escucho un tango y un rock, y presiento que soy yo
Y quisiera ver al mundo de fiesta
Veo tantas chicas castradas y tantos tontos que al fin
Yo no sé si vivir tanto les cuesta

[Verso 4: García]
Yo quiero ver muchos más delirantes por ahí
Bailando en una calle cualquiera
En Buenos Aires se ve que ya no hay tiempo de más
La alegría no es sólo brasilera (No, mi amor)

[Pre-Estribillo: Gieco & García]
Yo no quiero vivir paranoico
Yo no quiero ver chicos con odio
Yo no quiero sentir esta depresión


Voy buscando el placer de estar vivo
No me importa si soy un bandido
Voy pateando basura en el callejón

[Estribillo 3: Gieco & García]
Yo no quiero volverme tan loco
Yo no quiero vestirme de rojo
Yo no quiero morir en el mundo hoy

Yo no quiero ya verte tan triste
Yo no quiero saber lo que hiciste
Yo no quiero esta pena en mi corazón
Yo no quiero esta pena en mi corazón

[Outro: García; Gieco]
Yo nunca quise estar loco
Yo creo que todo es una mentira
Yo no quiero
Yo no quiero
Yo quiero
Yo no
Yo quiero..."
44,La música,El Otro Yo,1999,"1 ContributorLa Música LyricsEstoy un poco sordo
Qué?
Y un poco ciego
Me estaré quedando
Desefectivizado?
La música que escuchan todos
La música que escuchan todos
Yo no la escucho
Y está sonando
Cultura de los planetas
Sonidos que se mezclan
Canciones de la nueva era
Rondan en mi mente
La música que escuchan todos
La música que escuchan todos
Yo no la escucho
Y está sonando
Y estoy un poco sordo
Un poco ciego
Un poco empobrecido
Un poco descreído
Artificializados
Desnaturalizados
Estoy manipulado
Me siento anarquizado!
Estoy humanizado!
O deshumanizado?
En una noche negra sin mi sol
No tengo ni mi luna!
Cultura de los planetas
Sonidos que se mezclan
Canciones de la nueva era
Rondan en mi mente...
La música que escuchan todos
La música que escuchan todos...
Estoy humanizado!
O deshumanizado?
Y en una noche negra sin mi sol
No tengo ni mi luna!
Magia simple y natural
Ir más allá de lo habitual"
45,Hacelo por mí,Attaque 77,1990,"5 ContributorsHacelo por Mí LyricsThe 8th song of the album “El cielo puede esperar” (Translated:The sky can wait)

The song name’s traduction is “Do it for me”

This track talks about love at first sight and explain that kind of love is not… Read More [Letra de ""Hacelo Por Mi""]

[Verso 1]
Yo no sé, lo que sentí esa tarde que te vi
Yo pensaba en otras cosas, fuiste mucho para mí
Yo creía en tus palabras, tu mirada me engañó
Ahora sé, que no sos mía, la culpa la tuve yo

[Coro 1]
Yo no quise lastimarte, jamás tuve esa intención
Fuimos presos de un impulso, yo sólo buscaba amor

[Verso 2]
Y todo eso que sentía, esa tarde que te vi
Ahora no tiene sentido, fue un mal sueño para mí
Y al pensar en tu mirada, ya no puedo sonreír
Si quieres podés marcharte, sólo te quiero decir

[Coro 2]
Si aún te queda algo de amor, dentro de tu corazón
No me mires a los ojos, que me muero, yo me muero de dolor

[Refrán]
Hacelo por mí
Hacelo por mí
Hacelo por mí
Hacelo por mí"
46,El amor después del amor,Fito Páez,1992,"3 ContributorsEl Amor Después Del Amor Lyrics[Letra de ""El Amor Después del Amor""]

[Verso 1: Fito Páez]
El amor después del amor, tal vez se parezca a este rayo de sol
Y ahora que busqué y ahora que encontré el perfume que lleva al dolor
En la esencia de las almas, en la ausencia del dolor
Ahora sé que ya no puedo vivir sin tu amor (Mmm)

[Verso 2: Páez]
Me hice fuerte ahí donde nunca ví, nadie puede decirme quién soy
Yo lo sé muy bien, te aprendí a querer el perfume que lleva al dolor
En la esencia de las almas, dice toda religión
Para mí que es el amor después del amor

[Coro: Páez]
El amor después del amor, tal vez se parezca a este rayo de sol
Y ahora que busqué y ahora que encontré el perfume que lleva al dolor
En la esencia de las almas, dice toda religión
Para mí que es el amor después del amor

[Puente: Páez]
Nadie puede y nadie debe vivir, vivir sin amor
Nadie puede y nadie debe vivir, vivir sin amor
Una llave por una llave y esa llave es mi amor
Una llave por otra llave y esa llave es tu amor


[Coro: Páez; Claudia Puyó]
El amor después del amor, tal vez
Nadie puede y nadie debe vivir, vivir sin amor
Y nadie puede y nadie debe vivir, vivir sin amor, no (Uh)
Una llave por otra llave y esa llave es mi amor (El amor después del amor, tal vez)
Mi amor, una llave por otra llave y esa llave es mi amor (El amor después del amor, tal vez)

[Post-Coro: Páez; Puyó]
Nadie puede y nadie debe vivir, vivir sin amor (Sin amor)
Nadie puede y nadie debe vivir, vivir sin amor"
47,El extraño de pelo largo,La Joven Guardia,1969,
48,En la ciudad de la furia,Soda Stereo,1988,"19 ContributorsTranslationsEnglishEn la Ciudad de la Furia LyricsOne of the most popular songs by Argentine pop band Soda Stereo, the song was written and composed by Gustavo Cerati. Released in 1988 in the album named Doble Vida the song is considered to be the 48th song… Read More [Letra de ""En la Ciudad de la Furia""]

[Verso 1]
Me verás volar por la ciudad de la furia
Donde nadie sabe de mí y yo soy parte de todos
Nada cambiará con un aviso de curva
En sus caras veo el temor, ya no hay fábulas en la ciudad de la furia

[Verso 2]
Me verás caer como un ave de presa
Me verás caer sobre terrazas desiertas, oh
Te desnudaré por las calles azules
Me refugiaré antes que todos despierten

[Coro]
Me dejarás dormir al amanecer
Entre tus piernas, entre tus piernas
Sabrás ocultarme bien y desaparecer
Entre la niebla, entre la niebla

[Post-Coro]
Un hombre alado extraña la tierra

[Verso 3]
Me verás volar por la ciudad de la furia
Donde nadie sabe de mí y yo soy parte de todos
Por la luz del sol, se derriten mis alas
Sólo encuentro en la oscuridad lo que me une con la ciudad de la furia


[Verso 4]
Me verás caer como una flecha salvaje
Me verás caer entre vuelos fugaces, oh
Buenos Aires se ve tan susceptible
Ese destino de furia es lo que en sus caras persiste

[Coro]
Me dejarás dormir al amanecer
Entre tus piernas, entre tus piernas
Sabrás ocultarme bien y desaparecer
Entre la niebla, entre la niebla

[Post-Coro]
Un hombre alado prefiere la noche
(Ooh, oh, oh)

[Outro]
Me verás volver
Me verás volver
A la ciudad de la furia"
49,El tren de las 16,Pappo's Blues,1972,
50,Himno de mi corazón,Los Abuelos de la Nada,1984,"4 ContributorsHimno De Mi Corazón Lyrics[Letra de ""Himno De Mi Corazón""]

[Verso 1]
Sobre la palma de mi lengua vive el himno de mi corazón
Siento la alianza más perfecta que, en justicia, me une vos
La vida es un libro útil para aquel que puede comprender
Tengo confianza en la balanza que inclina mi parecer

[Pre-coro]
Nadie quiere dormirse aquí, algo puedo hacer
Tras haber cruzado la mar
Te seduciré por felicidad
Yo canto

[Coro]

[Verso 2]
Nada me abruma ni me impide en este día que te quiera, amor
Naturalmente mi presente busca florecer de a dos
Nada hay que nada prohiba, ya te veo andar en libertad
Que no se rasgue como seda el clima de tu corazón

[Pre-coro]
Nadie quiere dormirse aquí, algo debo hacer
Tras haber cruzado la mar
Te seduciré solo por amor
Lo canto


[Coro]"
51,Vasos vacíos,Los Fabulosos Cadillacs,1988,"8 ContributorsVasos Vacíos Lyrics[Letra de ""Vasos Vacíos""]

[Verso 1: Vicentico]
No sé bien qué día es hoy
Solo sé que te vi salir
Y en cinco minutos perdí
Las letras para hablarte a vos

[Verso 2: Celia Cruz]
Yo sé, yo sé que no tengo palabras
Y nunca las voy a tener
Por eso aprovecho esta noche
Ya ves, estoy sola otra vez

[Verso 3: Vicentico, Celia]
Por eso aprovecho esta noche (guau!)
Tal vez lo puedas entender (lo entiendo)
No me importa poner las letras
Solo me importa mi mujer

[Pre-Coro: Celia, Vicentico]
Mañana cuando te levantes
Y pienses lo que dije ayer
¡Ay viejo!, en este juego
A mi siempre me toca perder


[Coro: Ambos, Vicentico]
Siempre habrá vasos vacíos, oh
Con agua de la ciudad
La nuestra es agua de río
Mezclada con mar, oh yeah
Levanta los brazos mujer
Y ponte esta noche a bailar
Que la nuestra es agua de río
Mezclada con mar

[Verso 1: Vicentico, Celia]
No sé bien que día es hoy (y yo tampoco)
Solo sé que te vi salir
Y en cinco minutos perdí
Las letras para hablarte a vos

[Verso 2: Celia Cruz]
Yo, yo, yo, yo sé que no tengo palabras
Y nunca las voy a tener
Por eso aprovecho esta noche
Ya ves, estoy sola otra vez

[Verso 3: Vicentico, Celia]
Por eso aprovecho esta noche
Tal vez lo puedas entender (siempre te entiendo)
No me importa poner las letras
Solo me importa mi mujer


[Pre-Coro: Celia, Vicentico]
Mañana cuando te levantes
Y pienses lo que dije ayer
¡Ay viejo!, que en este juego
A mi siempre me toca perder (siempre)

[Coro: Ambos, Vicentico]
Siempre habrá vasos vacíos, oh
Con agua de la ciudad
La nuestra es agua de río
Mezclada con mar, oh yeah
Levanta los brazos mujer
Y ponte esta noche a bailar
Que la nuestra es agua de río
Mezclada con mar

[Puente: Celia Cruz]
A ti te quiero decir
No te preocupes mi amor
Que yo te voy a entender
Que yo te voy a querer

[Coro: Ambos, Vicentico]
Siempre habrá vasos vacíos, oh
Con agua de la ciudad
La nuestra es agua de río
Mezclada con mar, oh yeah
Levanta los brazos mujer
Y ponte esta noche a bailar
Que la nuestra es agua de río
Mezclada con mar, oh yeah"
52,El anillo del Capitán Beto,Invisible,1976,"10 ContributorsTranslationsEnglishEl Anillo del Capitán Beto Lyrics[Letra de ""El Anillo del Capitán Beto""]

[Coro 1]
Ahí va el Capitán Beto por el espacio
Con su nave de fibra hecha en Haedo
Ayer colectivero
Hoy amo entre los amos del aire

Ya lleva quince años en su periplo
Su equipo es tan precario como su destino
Sin embargo, un anillo extraño
Ahuyenta sus peligros en el cosmos

[Puente Instrumental]

[Coro 2]
Ahí va el Capitán Beto por el espacio
La foto de Carlitos sobre el comando
Y un banderín de River Plate
Y la triste estampita de un santo

[Verso 1]
¿Dónde está el lugar al que todos llaman cielo?
Si nadie viene hasta aquí
A cebarme unos amargos como en mi viejo umbral
¿Por qué habré venido hasta aquí, si no puedo más de soledad?
Ya no puedo más de soledad


[Coro 3]
Su anillo lo inmuniza de los peligros
Pero no lo protege de la tristeza
Surcando la galaxia del hombre
Ahí va el Capitán Beto, el errante (Uh-uh-uh)

[Verso 2]
¿Dónde habrá una ciudad en la que alguien silbe un tango?
¿Dónde están, dónde están?
¿Los camiones de basura, mi vieja y el café?
Si esto sigue así como así, ni una triste sombra quedará
Ni una triste sombra quedará

[Coro 4]
Ahí va el Capitán Beto por el espacio
Regando los malvones de su cabina
Sin brújula y sin radio
Jamás podrá volver a la tierra

[Puente Instrumental]

[Coro 5]
Tardaron muchos años hasta encontrarlo
El anillo de Beto llevaba inscripto un signo del alma"
53,"No llores por mí, Argentina",Serú Girán,1982,"2 ContributorsNo Llores Por Mí, Argentina Lyrics[Letra de ""No Llores Por Mí, Argentina""]

Tu amor te espera
No esperes más
¿Por qué perdiste tanto tiempo?
Indecisa al hablar
Tan dura como Humphrey Bogart
Entre lujurias y represión
Bailaste los discos de moda
Y era tu diversión
Burlarte de los ilusionistas
No llores por las heridas
Que no paran de sangrar
No llores por mí, argentina
Te quiero cada días más
Estás enferma de frustración
Y en tu locura no hay acuerdo
Una hiena al reír
Pero al almuerzo con los cerdos
Si las estrellas de cabaret
Se ríen de tus movimientos
No es preciso mentir lo negro
Que hay en tus pensamientos
No llores por las heridas
Que no paran de sangrar
No llores por mí, argentina
Te quiero cada días más
Alguien se quiere ir
Alguien quiere volver
Alguien que está atrapado
En el medio de un recuerdo
Esto yo ya lo vi
Esto ya lo escuché
Ella no quiere ser amiga
De un chico de este pueblo"
54,Un poco de amor francés,Patricio Rey y sus Redonditos de Ricota,1991,"5 ContributorsUn Poco De Amor Francés Lyrics[Letra de ""Un Poco De Amor Francés""]

[Verso 1]
Una tipa rapaz, como te gusta a vos
Esa tipa vino a consolarte
Un poco de amor francés no muerde su lengua, no
No es sincera, pero te gusta oírla

[Verso 2]
Es una linda ración
Con un defecto, con uno o dos
Y es un cóctel que no se mezcla solo

[Coro]
Quiere, si quiere más
Ya no la engatusás
Es una copa de lo mejor
Cuando se ríe

[Solo]

[Coro]
Quiere, si quiere más
Ya no la engatusás
Es una copa de lo mejor
Cuando se ríe


[Verso 3]
""El lujo es vulgaridad"", dijo y me conquistó
De esa miel no comen las hormigas
Una tipa rapaz, como te gusta a vos
Esa tipa vino a consolarte

[Coro]
Quiere, si quiere más
Ya no la engatusás
Es una copa de lo mejor
Cuando se ríe

[Solo]"
55,Loco,Andrés Calamaro,1997,"7 ContributorsLoco Lyrics[Letra de ""Loco""]

[Verso]
Voy a salir a caminar solito
Sentarme en un parque a fumar un porrito
Y mirar a las palomas comer
El pan que la gente les tira
Y reprimir el instinto asesino
Delante del mimo, del clown
Hoy estoy down violento, down radical
Pero tengo aprendido el papel principal

[Coro]
Yo soy un loco
Que se dio cuenta
Que el tiempo es muy poco
Yo soy un loco
Que se dio cuenta
Que el tiempo es muy poco

[Post-Coro]
Nana-nanana, nana-nanana
Nana-narana-nana
Nara-nanana, nana-nanana
A lo mejor resulta mejor así


[Coro]
Yo soy un loco
Que se dio cuenta
Que el tiempo es muy poco
Yo soy un loco
Que se dio cuenta, ah
Que el tiempo es muy poco

[Post-Coro]
Nana-nanana, nana-nanana
Nana-nanana, nara-nanana
A lo mejor resulta mejor así

[Outro]
Que el tiempo es muy poco
Que el tiempo es muy poco"
56,Pensé que se trataba de cieguitos,Los Twist,1983,"3 ContributorsPensé Que Se Trataba De Cieguitos Lyrics[Letra de ""Pensé Que Se Trataba De Cieguitos""]

Era un sábado a la noche
Tenía plata y hacía calor
Me dije, ""Viejo, aprovechá, sos joven""
Y me fui al cine a ver una de terror
Salí a la calle, paré un taxi y me fui
Por ahí

Bajé en Sarmiento y Esmeralda
Compré un paquete de pastillas Renomé
En eso siento que un señor me llama
Al darme vuelta me di cuenta que eran seis
Muy bien peinados, muy bien vestidos
Y con un Ford verde

Pensé que se trataba de cieguitos
Anteojos negros usaban los seis
Al llegar me dijeron, ""Buenas noches
¿Dónde trabaja, dónde vive, usted quién es?""
Acto seguido, me invitaron a subir al Ford

Llegamos a un edificio
Y comportándose con toda corrección
Me sometieron a un breve interrogatorio
Que duró casi cuatro horas y fracción
Se hizo muy tarde, dijeron, no hay colectivos
""Quédese por favor""


Caballeros de la noche

A los tres días de vivir con ellos
De muy buen modo me dijeron, ""Váyase""
Me devolvieron mis cordones y mi cinto
Los tenian ellos, no les pregunté por qué
Cuando salía me prometieron
Lo aseguraron, lo repitieron
Nos volveremos a ver"
57,Me gusta ese tajo,Pescado Rabioso,1972,"8 ContributorsMe Gusta Ese Tajo Lyrics[Letra de ""Me Gusta Ese Tajo""]

[Estribillo]
Me gusta ese tajo
Que ayer conocí
Me gusta ese tajo
Que ayer conocí

[Puente]
Ella me calienta, la quiero invitar a dormir

[Estribillo]
Me gusta ese tajo
Que ayer conocí
Me gusta ese tajo
Que ayer conocí
Ella me calienta, la quiero invitar a dormir

[Interludio]
Con sus lindas piernas
Ella me hace pensar
Debo destruir la mierda
De esta ciudad

[Estribillo]
Me gusta ese tajo
Que ayer conocí
Ella me calienta, la quiero invitar a dormir


[Coda/Solo de guitarra]"
58,Vos sabés,Los Fabulosos Cadillacs,1999,"3 ContributorsVos Sabés Lyrics[Verso 1]
Vos sabés, cómo te esperaba
Cuánto te deseaba
No, si vos sabés
Vos sabés, que a veces hay desencuentros
Pero cuando hay un encuentro de dos almas trae luz
Vos sabés, que cuando llegaste cambiaste el olor de mis mañanas
No, si vos sabés
Vos sabés, que el día en que tu madre vino
Y me dijo con ojos mojados que ibas a venir

[Pre-Coro]
Cuando el doctor dijo ""Señor, lo felicito es un varón""
¿Cómo poder explicarte?
¿Cómo poder explicártelo?
El amor de un padre a un hijo, no se puede comparar
Es mucho más que todo
No, si vos sabés

[Coro 1]
Vos sabés
Todo, todo, todo, todo es el amor
Vos sabés
En la calle, en la familia codo a codo
Vos sabés
Como cambia la vida
Vos sabés
Yo no me quedo nunca más solo, solo


[Verso 3]
Los observo mientras tu madre te mece
Y me hace sentir fuerte mirarte crecer
La emoción que llevo dentro
Comparto en este cantar
Con los que miran al frente, de noble corazón

[Pre-Coro]
Cuando el doctor dijo ""Señor, lo felicito es un varón""
¿Cómo poder explicarte?
¿Cómo poder explicártelo?
El amor de un padre a un hijo no se puede comparar
Es mucho más que todo
No, si vos sabés

[Coro 2]
Vos sabés
Todo, todo, todo, todo es el amor
Vos sabés
Por el tigre, la familia codo a codo
Vos sabés
Como cambia la vida
Vos sabés
Y no me quedo nunca más solo, solo
Vos sabés
Nunca más solo


[Outro]
Mira ese par de pibes lindos (vos sabés)
Llega el cabezón (vos sabés)
Un bandoneón y un contrabajo en el corazón
Anduvo solo el perro
Vos sabés
(Eh oh eh oh) Y ahora es un campeón
(Eh oh eh) Vos sabés
(Eh oh eh oh) Yo no me quedo nunca más solo, solo, solo, solo
(Eh oh eh) Vos sabés
(Eh oh eh oh) Dejame que te mire tus ojitos mojados de niña
(Eh oh eh) De tanto llorar
(Eh oh eh oh) Vos sabés
(Eh oh eh) Vos sabés
(Eh oh eh oh) Todo, todo, todo, todo es el amor
Vos sabés
(Eh oh eh) Por el tigre, la familia codo a codo
Vos sabés
(Eh oh eh oh) Como cambia la vida"
59,Puente,Gustavo Cerati,1999,"28 ContributorsTranslationsEnglishPuente Lyrics[Letra de ""Puente""]

[Verso 1]
Hoy te busqué en la rima que duerme
Con todas las palabras
Si algo callé es porque entendí todo
Menos la distancia
Desordené átomos tuyos para hacerte aparecer
(Un día más, un día más)

[Verso 2]
Arriba el sol, abajo el reflejo
De cómo estalla mi alma
Ya estás aquí y el paso que dimos
Es causa y es efecto

[Pre-Coro]
Cruza el amor, yo cruzaré los dedos

[Coro]
Y gracias por venir
Gracias por venir

[Puente]
Adorable puente
Se ha creado entre los dos


[Interludio Instrumental]

[Pre-Coro]
Cruza el amor, yo cruzaré los dedos

[Coro]
Y gracias por venir
Gracias por venir
Gracias por venir
Gracias por venir

[Interludio Instrumental]

[Outro]
Adorable puente
Cruza el amor, cruza el amor por el puente, uh-uh
Usa el amor, usa el amor como un puente"
60,Mañana campestre,Arco Iris,1972,"2 ContributorsMañana Campestre Lyrics[Letra de ""Mañana Campestre""]

Mañanas campestres, perfumadas de azar
Un gorrion se escapa de tu vos
Y en el rio la cara de los dos
Viene es viento nos cuanta la historia de un lugar

Corramos al bosque a preguntarle a un nogal
Si es verdad que llueven gotas de cristal
Si la luna se ha ido a pasear
Viene el viento y nos cuantea la historia de un lugar"
61,El rock del gato,Los Ratones Paranoicos,1989,
62,Una luna de miel en la mano,Virus,1985,
63,Pupilas lejanas,Los Pericos,1998,"7 ContributorsPupilas Lejanas Lyrics[Verse 1]
Tiempo al tiempo, tengo que esperar
Es la idea y suele condenar
Tu mirada vuelve a penetrar
Mis pupilas lejanas
A ver si todo acaba aquí

[Chorus]
¡Uh! No me dejes morir así
¡Uh! No me dejes caer en la trampa

[Verse 2]
Veo tu sombra contra la pared
¿Dónde estoy, a dónde es mi lugar?
Paredón me vienes a buscar
Tu venganza me alcanza
A ver si todo acaba aquí

[Chorus]
¡Uh! No me dejes morir así
¡Uh! No me dejes caer en la trampa

[Bridge]
Sé que ya de todo se ha dicho
Que mi andar ya no es igual
Que mis penas son tu condena
Que mis ojos son la frialdad
Sé que has dado justo en mi pecho
Munición a voluntad
Déjame salir de este encierro
No soy tu hombre ni tu verdad


[Chorus]
¡Uh! No me dejes morir así
¡Uh! No me dejes caer en la trampa
¡Uh! No me dejes morir así
¡Uh! No me dejes caer en la trampa

[Verse 3]
Tiempo al tiempo tengo que esperar
Esa idea suele condenar
Tu mirada vuelve a lastimar
Mis pupilas lejanas
A ver si todo acaba aquí

[Chorus]
¡Uh! No me dejes morir así
¡Uh! No me dejes caer en la trampa
¡Uh! No me dejes morir así
¡Uh! No me dejes caer en la trampa
¡Uh! No me dejes morir así
¡Uh! No me dejes caer en la trampa
¡Uh! No me dejes morir así
¡Uh! No me dejes caer en la trampa"
64,Mañana en el Abasto,Sumo,1987,"7 ContributorsMañana En El Abasto Lyrics[Letra de ""Mañana En El Abasto""]

[Refrán]
Mañana de sol, bajo por el ascensor
Calle con árbo-les, chica pasa con temor

[Verso 1]
No tengas miedo, no, me pelé por mi trabajo
Las lentes son para el sol y para la gente que me da asco
No vayas a la escuela, porque San Martín te espera
Estás todo el día sola y mirás a mi campera

[Verso 2]
Tomates podridos por las calles del Abasto
Podridos por el sol que quiebra el asfalto del Abasto
Hombre sentado ahí, con su botella de Resero
Los bares tristes, vacíos ya, por la clausura del Abasto
José Luis y su novia se besan por ahí en el Abasto
Yo paso y me saludan bajo la sombra del Abasto

[Refrán]
Mañana de sol, bajo por el ascensor
Calle con árbo-les, chica pasa con temor

[Verso 3]
Parada ""Carlos Gardel"", es la estación del Abasto
Sergio trabaja en el bar, en la estación del Abasto
Piensa siempre más y más, será por el aburrimiento
Subte, ""Línea B"" y yo me alejo más del suelo
Yo me alejo más del cielo, también
Ahí escucho el tren, ahí escucho el tren
Estoy en el subsuelo, estoy en el subsuelo


[Outro]
Mañana de sol, bajo por el ascensor
Calle con árbo-les, chica pasa con temor"
65,Gente del futuro,Miguel Cantilo y Punch,1980,
66,Avanti morocha,Los Caballeros de la Quema,1998,"6 ContributorsAvanti Morocha Lyrics[Letra de ""Avanti Morocha""]

[Verso 1]
Nos empezamos de golpe
Nos saboreamos de prepo
Como salidos de un cuento de amor
Vos venías de un viaje de mochilas cansadas
Yo pateaba verano sin sol

[Pre-Coro]
Y en el escolazo de los besos
Cantamos bingo, y así andamos
Sin nada de mapas ni de candados

[Coro]
Arriba morocha, que nadie está muerto
Vamos a punguearle a esta vida amarreta un ramo de sueños
Avanti morocha, no nos llueve tanto
No tires la toalla, hasta los más mancos la siguen remando
No tires la toalla, hasta los más mancos

[Verso 2]
Nunca dejo que un ángel
Haga un nido en mi almohada
Pero me acuerdo tarde, mi amor
Hoy me siento a la sombra de tus piernas dormidas
Y le converso a mi insomnio de vos


[Pre-Coro]
Y como los fantasmas del recuerdo
Salen a la noche a patotearte
Vos andás descalza y en puntas de pie

[Coro]
Arriba morocha, que nadie está muerto
Vamos a punguearle a esta vida amarreta un ramo de sueños
Avanti morocha, no nos llueve tanto
No tires la toalla que hasta los más mancos la siguen remando
No tires la toalla que hasta los más mancos

[Puente]
Es tan fácil perderse en las calles del miedo
No me sueltes la mano, mi amor
Mi casa es un desastre sin tu risa
No me dejaste ni las migas
A cara de perro estoy extrañándote

[Coro]
Arriba morocha, que nadie está muerto
Vamos a punguearle a esta vida amarreta un ramo de sueños
Avanti morocha, no nos llueve tanto
No tires la toalla, hasta los más mancos la siguen remando
No tires la toalla, hasta los más mancos


[Outro]
Arriba morocha
Avanti morocha
Arriba morocha
Avanti morocha"
67,La colina de la vida,Porsuigieco [ 5 ] ​,1976,
68,Cuando pase el temblor,Soda Stereo,1985,"22 ContributorsCuando Pase el Temblor Lyrics“Cuando pase el temblor” was a massive success for Soda Stereo. Released in 1986 as part of the album
 Nada Personal, the song gained popularity because of its message and the various ways to interpret the… Read More [Letra de ""Cuando Pase el Temblor""]

[Verso 1]
Yo caminaré entre las piedras
Hasta sentir el temblor en mis piernas
A veces tengo temor, lo sé
A veces vergüenza, ooh-oh

[Verso 2]
Estoy sentado en un cráter desierto
Sigo aguardando el temblor en mi cuerpo
Nadie me vio partir, lo sé
Nadie me espera

[Puente]
Hay una grieta en mi corazón
Un planeta con desilusión

[Verso 3]
Se que te encontraré en esas ruinas
Ya no tendremos que hablar (Que hablar)
Del temblor
Te besaré en el temblor (Lo sé)
Será un buen momento

[Puente]
Hay una grieta en mi corazón
Un planeta con desilusión


[Cierre]
El temblor
(Despiértame) Cuando pase el temblor
(Despiértame) Cuando pase el temblor
(Despiértame) Cuando pase el temblor
Despiértame
Despiértame cuando pase el temblor"
69,La muralla verde,Los Enanitos Verdes,1986,"6 ContributorsLa Muralla Verde Lyrics[Letra de ""La Muralla Verde""]

[Verso 1]
Estoy parado sobre la muralla que divide
Todo lo que fue de lo que será
Estoy mirando como esas viejas ilusiones
Pasando la muralla se hacen realidad

[Coro]
Pero como el amor de ayer
Pero como el amor de ayer
Vuelve a desaparecer
Desaparecer

[Verso 2]
Estoy parado sobre la muralla que divide
Todo lo que amé de lo que amaré
Estoy mirando como mis heridas se cerraron
Y como se desangra un nuevo corazón

[Coro]
Pero como el amor de ayer
Pero como el amor de ayer
Vuelve a desaparecer
Desaparecer


[Verso 3]
Estoy parado sobre la muralla que divide
Todo lo que fue de lo que será
Estoy mirando como aquella vieja psicodelia
Estoy fijándome como viene y va

[Coro]
Pero como el amor de ayer
Pero como el amor de ayer
Vuelve a desaparecer
Desaparecer"
70,Silencio marginal,Aquelarre,1974,"1 ContributorSilencio Marginal Lyrics[Letra de ""Silencio Marginal""]

Selvas hasta el fin
Salen esta vez
A penetrar en los jardines
Y estarán al mediodía aquí
Y nadie va a decir
Que miraban hacia atrás
Cuando vino el sol
Unos brillos más
Tienden a brillar
Mientras la gente tiene miedo
De que el pájaro sea irreal
Y nadie va a decir
Que miraban hacia atrás
Cuando se escuchó:
Si las luces se cruzan al azar
Es mentira el silencio marginal
De tu seguridad
El miedo de una noche
Que la naturaleza tiene en vos
Si las luces se cruzan al azar
Es mentira el silencio marginal
De tu seguridad
El miedo de una noche
Permanente selva natural
Si las luces se cruzan al azar
Es mentira el silencio marginal"
71,Génesis,Vox Dei,1971,"4 ContributorsGénesis Lyrics[Letra de ""Génesis""]

[Verso 1]
Cuando todo era nada
Era nada el principio
Él era el Principio
Y de la noche hizo luz
Y fue el Cielo
Y esto que está aquí

[Coro 1]
Hubo tierra, agua, sangre
Flores, todo eso y también tiempo
Raramente digo que este
Fue el mundo del hombre
Y así fue
Oh, sí
Oh oh oh oh oh oh

[Verso 2]
Hombre que te miras en las
Aguas para ver quién sos
Mírame si quieres verte
Porque imagen mía sos
Ya lo hiciste
Vive sólo hoy


[Coro 2]
Hubo pueblos y países
Y hubo hombres con memoria
Claramente digo que este
Es el mundo del hombre
Que contaron
Todas estas cosas
Y fue así
Oh, sí
Oh oh oh oh oh oh

[Instrumental]"
72,Trátame suavemente,Los Encargados,1986,"2 ContributorsTrátame Suavemente Lyrics[Letra de ""Trátame Suavemente""]

[Verso 1]
Alguien me ha dicho que la soledad se esconde tras tus ojos
Y que tu blusa adora sentimientos, que respiras
Tenés que comprender que no puse tus miedos donde están guardados
Y que no podré quitártelos si al hacerlo me desgarras

[Coro]
No quiero soñar mil veces las mismas cosas
Ni contemplarlas sabiamente
Quiero que me trates suavemente

[Verso 2]
Te comportas de acuerdo
Con lo que te dicta cada momento
Y esta inconstancia no es algo heroico
Es más bien algo enfermo

[Coro]
No quiero soñar mil veces las mismas cosas
Ni contemplarlas sabiamente
Quiero que me trates suavemente

No quiero soñar mil veces las mismas cosas
Ni contemplarlas sabiamente
Quiero que me trates suavemente
Quiero que me trates suavemente
Quiero que me trates suavemente
Suavemente, suavemente, suavemente"
