title,id,url,album,lyrics
Bar Azul,10008164,https://genius.com/Charly-garcia-bar-azul-lyrics,,"1 ContributorBar Azul LyricsMe acuerdo de ese hombre que cantaba en el bar enamorado por la sirena
Y de esa muchachita que no supo bailar y fue tragada por las ballenas
Y de estas crucijadas donde nos perdimos perdida en un cafe y con algun pan
Y dan las 6 hasta la orilla y nunca volvimos a festejarlos en soledad

Me olvido de las cosas que no quiero pensar y me libero de las praderas
Escupo esa joyita que no puedo clavar pero la fria en su cuerpo quema

En esta tarde rara donde nos perdimos la vida no va a nada encontrar
El viento se hizo verde y ya nunca supimos usar un naipe y poder volar"
Believe,3818235,https://genius.com/Charly-garcia-believe-lyrics,"Album(id, artist, ...)","4 ContributorsBelieve Lyrics[Letra de ""Believe""]

[Verso 1]
When I need somebody to love
Someone I can believe

[Coro]
Someone I can believe
Riding in my head

[Verso 2]
When I need just somebody new
Someone I can believe
When I need somebody new
Someone I can believe

[Coro]
Someone I can believe
Riding in my head

[Verso 3]
When I need somebody to love
Someone I can believe"
Bienvenidos al tren,4422915,https://genius.com/Charly-garcia-bienvenidos-al-tren-lyrics,"Album(id, artist, ...)","3 ContributorsBienvenidos al tren Lyrics[Letra de ""Bienvenidos al tren""]

[Verso 1]
Recoge tus cosas y largo de aquí
En nombre de cristo no quieras seguir
Si nadie me acepta, muy bien yo me iré
Estoy esperando que llegue mi tren

[Verso 2]
Si tu eres mi dama jamás lo sabré
Si yo no te río pues bien mátame
Recógete el pelo ven a la estación
Si no me acompañas puedes decirme adiós

[Verso 3]
Pueden venir cuantos quieran
Que serán tratados bien
Y los que estén en el camino
Bienvenidos al tren

[Verso 4]
Si vendo mi alma quién la comprará
Si compro tu tiempo no me servirá
Por eso es que vago ésta es mi verdad
Si miento un poquito ya me perdonarás"
"Boletos, pases y abonos",4422913,https://genius.com/Charly-garcia-boletos-pases-y-abonos-lyrics,"Album(id, artist, ...)","3 ContributorsBoletos, pases y abonos Lyrics[Letra de ""Boletos, pases y abonos""]

[Verso 1]
Ooh, me quitan el sol, me sacan a Dios
Me secan el sudor y el sabor

[Verso 2]
¿Quién se puede reír de tanto sufrir el frío y el calor y el dolor?
¿Quién escupe los ojos sin resistencia de el que trajo el vino dulce para podernos ver?
¿Quién por poco dinero te supo hacer feliz?
¿Quién fue amigo de tus hijos y quién consiguió los boletos para verme cantar?
¿Quién les dio un acabado cuadro de su mamá?

[Verso 3]
Madres, hijas, hermanas, van a escuchar el llanto del adiós
Pronto en ésta ciudad me van a nombrar ciudadano legal, como vos
Soy el hijo de todas y el amante también
No se atreve, dulce mamá, a ser mi mujer infiel
Soy el mendigo azul, el que cantó para el rey
No es verdad, noble señora, soy...

[Verso 4]
¿Quién consiguió los boletos para verme cantar?
¿Quién les dio un acabado cuadro de su mamá?"
Break It Up,4423055,https://genius.com/Charly-garcia-break-it-up-lyrics,"Album(id, artist, ...)","5 ContributorsBreak It Up Lyrics[Letra de ""Break It Up""]

[Coro]
Break it up (Salvation)
Break it up (You gotta make it believe)
Break it up (Creation)
Shake it, break it

[Post-coro]
You are the only one that I can believe
When the truth is so difficult to find
You are the only one that I can just see
But I can make it, I can break it

[Coro]
Break it up (Salvation)
Break it up (You gotta make it believe)
Break it up (Creation)
Shake it, make it, smash your head and break it

[Post-coro]
You are the only one that I can believe
When the truth is so difficult to find
You are the only one that I can just see
But I can make it, I can break it


[Coro]
Break it up (Salvation)
Break it up (You gotta make it believe)
Break it up (Creation)
Shake it, make it, smash your head and break it up
Break it up
Shake it, make it, smash your head and break it up
Break it up
Shake it, make it, smash your head and break it up"
Buscando un Símbolo de Paz,916093,https://genius.com/Charly-garcia-buscando-un-simbolo-de-paz-lyrics,"Album(id, artist, ...)","6 ContributorsBuscando un Símbolo de Paz Lyrics[Letra de ""Buscando un Símbolo de Paz""]

[Verso 1: Charly García]
Estás buscando un viejo camisón, estás buscando alguna religión
Estás buscando un símbolo de paz
Estás buscando algún incienso ya, estás buscando un sueño en un placard
Estás buscando un símbolo de paz

[Verso 2: Paula Toller]
Y damos vueltas a la heladera
Y sólo queda un limón sin exprimir
Nos divertimos en primavera
Y en invierno nos queremos morir

[Verso 3: Charly García]
Estás buscando un porro de papá, estás buscando un saco de mamá
Porque si nada queda, nada va
Estás buscando algún incienso ya, estás buscando un sueño en el placard
Estás buscando un símbolo de paz

[Verso 4: Paula Toller]
Y damos vuelta a la discoteca
Y ya no quedan ganas de sonreir
Nos divertimos en primavera
Y en invierno nos queremos morir


[Coro: García, Toller & Ambos]
¿Será porque nos queremos sentir bien
Y ahora estamos bailando entre la gente?
¿Será porque nos queremos sentir bien
Que ahora todo será diferente?

[Post-Coro: García, Toller & Ambos]
Estás buscando un símbolo de paz
(La-la-la-la-la-la-la, la-la-la-la-la-la-la)
Estás buscando un símbolo de paz

[Verso 5: Ambos]
Y damos vueltas a la heladera
Y solo queda un limón sin exprimir
Nos divertimos en primavera
Y en invierno nos queremos morir

[Coro: García, Toller & Ambos]
¿Será porque nos queremos sentir bien
Y ahora estamos bailando entre la gente?
¿Será porque nos queremos sentir bien
Que ahora todo será diferente?

[Outro Instrumental]"
Calle [Taxi],4422999,https://genius.com/Charly-garcia-calle-taxi-lyrics,"Album(id, artist, ...)",
Canción de 2 x 3 - en vivo,2116967,https://genius.com/Charly-garcia-cancion-de-2-x-3-en-vivo-lyrics,,"2 ContributorsCanción de 2 x 3 - en vivo LyricsNo tengo nada que hacer
No tengo nada que dar
No encuentro la gracia en mi manera de hablar
No quiero volver nunca más
Todos podemos perder, todos podemos ganar
Entre las sogas del circo y las trincheras del mal
Yo quiero olvidarme de hablar
Las pálidas figuras se acercaron hasta mí
Mi mente tuvo dudas y fingí que ya las ví
Ya no quiero vivir así
Repitiendo las agonías del pasado
Con los hermanos de mi niñez
Es muy duro sobrevivir
Aunque el tiempo ya los ha vuelto desconfiados
Tenemos algo para decir
No es la misma canción de 2 x 3
Las cosas ya no son como las vez"
Canción de alicia en el pais - en vivo,1970080,https://genius.com/Charly-garcia-cancion-de-alicia-en-el-pais-en-vivo-lyrics,,"1 ContributorCanción de alicia en el pais - en vivo LyricsQuién sabe Alicia, este país
No estuvo hecho porque sí
Te vas a ir, vas a salir
Pero te quedas, dónde más vas a ir?

Y es que aquí, sabes
El trabalenguas, trabalenguas
El asesino te asesina y es mucho para ti
Se acabó ese juego que te hacía feliz

No cuentes lo que viste en los jardines, el sueño acabó
Ya no hay morsas
Ni tortugas

Un río de cabezas aplastado por el mismo pie
Juegan cricket
Bajo la luna

Estamos en la tierra de nadie, pero es mía
Los inocentes son los culpables, dice su señoría
El rey de espadas

No cuentes que hay detrás de aquel espejo no tendrás poder
Ni abogados
Ni testigos


Enciende los candiles que los rumbos piensan en volver
A nublarnos
El camino

Estamos en la tierra de todos, en la vida
Sobre el pasado y sobre el futuro, ruinas sobre ruinas
Querida Alicia

Quién sabe Alicia, este país
No estuvo hecho porque sí
Te vas a ir, vas a salir
Pero te quedas, dónde más vas a ir?

Y es que aquí, sabes
El trabalenguas, trabalenguas
El asesino te asesina y es mucho para ti

Se acabo
Se acabo ese
Se acabo ese juego
Se acabó ese juego que te hacía feliz"
Canción de Dos por Tres,1488850,https://genius.com/Charly-garcia-cancion-de-dos-por-tres-lyrics,"Album(id, artist, ...)","10 ContributorsCanción de Dos por Tres Lyrics[Letra de ""Canción de Dos por Tres""]

[Verso 1]
No tengo nada que hacer
No tengo nada que dar
No encuentro la magia en mi manera de hablar
No quiero volver nunca más

[Verso 2]
Todos podemos perder, todos podemos ganar
Entre las sogas del circo y las trincheras del mal
No quiero olvidarme de hablar

[Puente]
Las pálidas figuras se acercaron hasta mí
Mi mente tuvo dudas y fingí que no las ví

[Verso 3]
Ya no quiero vivir así
Repitiendo las agonías del pasado
Con los hermanos de mi niñez, es muy duro sobrevivir
Aunque el tiempo ya los ha vuelto desconfiados

[Pre-Coro]
Tenemos algo para decir


[Coro]
No es la misma canción de dos por tres
Las cosas ya no son como las ves

[Solo]

[Outro Instrumental]"
